LAT,LOG,YEAR,Month,Street
41.777699385,-87.798426568,2020,3,GULLIKSON RD
41.734434748,-87.591881972,2020,3,KENWOOD AVE
41.866724354,-87.625961148,2020,3,WABASH AVE
41.845682014,-87.654264541,2020,3,STARK ST
41.953548588,-87.726893035,2020,3,IRVING PARK RD
41.655715094,-87.605274954,2020,3,LANGLEY AVE
41.895691572,-87.760815351,2020,3,RICE ST
41.961208105,-87.715650273,2020,3,MONTROSE AVE
41.964517041,-87.761596575,2020,3,WILSON AVE
41.79464233,-87.631843416,2020,3,GARFIELD BLVD
41.876730927,-87.650560546,2020,3,VAN BUREN ST
41.923734906,-87.791909703,2020,3,GRAND AVE
41.785624587,-87.718191044,2020,3,HAMLIN AVE
41.844221002,-87.734409021,2020,3,26TH ST
41.662137927,-87.617688031,2020,3,INDIANA AVE
41.940855576,-87.793506064,2020,3,NORMANDY AVE
41.809176348,-87.622913954,2020,3,47TH ST
41.877074588,-87.735473968,2020,3,JACKSON BLVD
41.677451757,-87.680559346,2020,3,WESTERN AVE
41.767518932,-87.576188939,2020,3,JEFFERY BLVD
41.719671724,-87.534476473,2020,3,97TH ST
42.016435617,-87.680325227,2020,3,DAMEN AVE
41.892489205,-87.634844572,2020,3,OHIO ST
42.019420881,-87.689690839,2020,3,HOWARD ST
41.753203308,-87.577388892,2020,3,EUCLID AVE
41.826255262,-87.632953453,2020,3,37TH PL
41.894850276,-87.632823661,2020,3,LA SALLE DR
41.91962321,-87.746336403,2020,3,CICERO AVE
41.812001386,-87.695480903,2020,3,45TH ST
41.780211322,-87.615768292,2020,3,DR MARTIN LUTHER KING JR DR
41.793340386,-87.707969197,2020,3,55TH ST
41.897325754,-87.721402878,2020,3,HAMLIN AVE
41.851434883,-87.724876709,2020,3,CERMAK RD
41.892479022,-87.635522729,2020,3,OHIO ST
41.845144604,-87.733883055,2020,3,25TH PL
41.762118522,-87.60054649,2020,3,SOUTH CHICAGO AVE
41.866621975,-87.683877217,2020,3,OGDEN AVE
41.779926518,-87.631979326,2020,3,YALE AVE
41.875072577,-87.746100762,2020,3,VAN BUREN ST
41.978054751,-87.65976843,2020,3,BROADWAY
41.867122912,-87.63937962,2020,3,CANAL ST
41.760980908,-87.643229812,2020,3,EMERALD AVE
41.972109343,-87.717589372,2020,3,ARGYLE ST
41.818138972,-87.704221444,2020,3,KEDZIE AVE
41.691732174,-87.681007298,2020,3,WESTERN AVE
41.73682263,-87.58578342,2020,3,STONY ISLAND AVE
41.725807134,-87.600782469,2020,3,DREXEL AVE
41.896471073,-87.643089291,2020,3,LARRABEE ST
41.725842009,-87.602896274,2020,3,93RD ST
42.008508206,-87.699918726,2020,3,CALIFORNIA AVE
41.765165958,-87.6541792,2020,3,71ST ST
42.009061849,-87.675917999,2020,3,LUNT AVE
41.968995462,-87.648221885,2020,3,LAKE SHORE DR SB
41.73621242,-87.624012445,2020,3,STATE ST
41.684782026,-87.713283305,2020,3,114TH PL
41.953750194,-87.728489892,2020,3,IRVING PARK RD
41.959585217,-87.716619296,2020,3,DRAKE AVE
41.876220555,-87.686128469,2020,3,WESTERN AVE
41.875046961,-87.667827473,2020,3,CONGRESS PKWY
41.758239279,-87.631292219,2020,3,75TH ST
41.802437102,-87.722997198,2020,3,ARCHER AVE
41.937749255,-87.832016564,2020,3,BELMONT AVE
41.955127655,-87.748022717,2020,3,BELLE PLAINE AVE
41.952297439,-87.822094766,2020,3,IRVING PARK RD
41.737218919,-87.557116041,2020,3,MANISTEE AVE
41.902842811,-87.716711377,2020,3,CENTRAL PARK AVE
41.751444097,-87.600735251,2020,3,79TH ST
41.783730148,-87.722757393,2020,3,PULASKI RD
41.874346852,-87.641101272,2020,3,CLINTON ST
41.76084737,-87.572538871,2020,3,74TH ST
41.692695048,-87.622963607,2020,3,111TH ST
41.746131336,-87.585830945,2020,3,82ND ST
41.768738687,-87.673779557,2020,3,DAMEN AVE
41.979414943,-87.766115212,2020,3,LINDER AVE
41.725596326,-87.639536454,2020,3,LOWE AVE
41.861880815,-87.624173823,2020,3,MICHIGAN AVE
41.909585056,-87.740593422,2020,3,NORTH AVE
41.944077499,-87.705348009,2020,3,ELSTON AVE
41.82300473,-87.675020946,2020,3,PERSHING RD
41.876064776,-87.686415631,2020,3,WESTERN AVE
41.874211055,-87.735387089,2020,3,KOSTNER AVE
41.830504963,-87.619471069,2020,3,GILES AVE
41.972087611,-87.701102117,2020,3,FRANCISCO AVE
41.692351335,-87.635281359,2020,3,NORMAL AVE
41.718400752,-87.620660691,2020,3,MICHIGAN AVE
41.780064951,-87.664381869,2020,3,ASHLAND AVE
41.991181753,-87.660155083,2020,3,BROADWAY
41.816700548,-87.60690566,2020,3,43RD ST
41.879618447,-87.626570477,2020,3,ADAMS ST
41.798525007,-87.593303517,2020,3,KENWOOD AVE
41.898828875,-87.731051065,2020,3,AUGUSTA BLVD
41.88657963,-87.635381765,2020,3,LOWER WACKER DR
41.821071349,-87.665510357,2020,3,ASHLAND AVE
41.805945239,-87.723673079,2020,3,PULASKI RD
41.925102257,-87.680533464,2020,3,FULLERTON AVE
41.903311131,-87.634605802,2020,3,WELLS ST
41.918743315,-87.757071983,2020,3,LATROBE AVE
41.838128596,-87.632735621,2020,3,WELLS ST
41.957720776,-87.677155904,2020,3,BERTEAU AVE
41.799470075,-87.723487974,2020,3,PULASKI RD
41.884595744,-87.628795005,2020,3,RANDOLPH ST
41.925241404,-87.655043717,2020,3,FULLERTON AVE
